time_utc,board_temp,board_volts_core,board_volts_sdram_c,board_volts_sdram_i,board_volts_sdram_p,board_throttled,gps_latitude,gps_longitude,gps_altitude,gps_ascending_rate,gps_speed,gps_heading,capsule_temp,capsule_humidity,capsule_pressure,capsule_baro_altitude,out_temp,out_humidity,out_pressure,out_baro_altitude
2021-04-27T19:35:52.663+00:00,35.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,628.28,5.00,57.83,257.33,24.56,32.13,951.92618,465.90,24.70,29.85,951.12899,466.52
2021-04-27T19:35:55.409+00:00,39.0,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,885.15,5.00,57.83,257.33,24.53,32.14,951.90482,466.41,24.69,29.75,951.10424,466.39
2021-04-27T19:35:57.926+00:00,40.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,1049.87,5.00,57.83,257.33,24.53,31.98,951.91813,466.04,24.69,29.73,951.10704,466.46
2021-04-27T19:36:00.448+00:00,40.6,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,1430.54,5.00,57.83,257.33,24.59,31.99,951.94557,465.74,24.73,29.63,951.10529,466.31
2021-04-27T19:36:03.158+00:00,42.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,1597.01,5.00,57.83,257.33,24.54,31.99,951.92784,466.12,24.71,29.76,951.10086,466.48
2021-04-27T19:36:05.714+00:00,43.3,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,1841.63,5.00,57.83,257.33,24.54,31.96,951.93947,466.03,24.69,29.74,951.10366,466.49
2021-04-27T19:36:08.235+00:00,42.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,2189.23,5.00,57.83,257.33,24.54,31.97,951.93281,465.86,24.69,29.66,951.10424,466.33
2021-04-27T19:36:10.766+00:00,42.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,2415.95,5.00,57.83,257.33,24.59,31.99,951.94558,465.78,24.70,29.69,951.10635,466.47
2021-04-27T19:36:13.458+00:00,43.3,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,2631.65,5.00,57.83,257.33,24.55,31.92,951.94115,465.86,24.70,29.75,951.09801,466.69
2021-04-27T19:36:15.994+00:00,43.9,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,2814.30,5.00,57.83,257.33,24.54,31.93,951.94809,465.96,24.70,29.56,951.08957,466.39
